Range,Duration,Target,Raised,Category
0-4999,60,3500,2500,0
0-4999,60,3500,3000,0
0-4999,60,3500,3500,1
0-4999,60,4000,0,0
0-4999,60,4000,500,0
0-4999,60,4000,1000,0
0-4999,60,4000,1500,0
0-4999,60,4000,2000,0
0-4999,60,4000,2500,0
0-4999,60,4000,3000,0
0-4999,60,4000,3500,0
0-4999,60,4000,4000,1
0-4999,60,4500,0,0
0-4999,60,4500,500,0
0-4999,60,4500,1000,0
0-4999,60,4500,1500,0
0-4999,60,4500,2000,0
0-4999,60,4500,2500,0
0-4999,60,4500,3000,0
0-4999,60,4500,3500,0
0-4999,60,4500,4000,0
0-4999,60,4500,4500,1
0-4999,60,5000,0,0
0-4999,60,5000,500,0
0-4999,60,5000,1000,0
0-4999,60,5000,1500,0
0-4999,60,5000,2000,0
0-4999,60,5000,2500,0
0-4999,60,5000,3000,0
0-4999,60,5000,3500,0
0-4999,60,5000,4000,0
0-4999,60,5000,4500,0
0-4999,60,5000,5000,1
0-4999,90,0,0,1
0-4999,90,500,0,0
0-4999,90,500,500,1
0-4999,90,1000,0,0
0-4999,90,1000,500,0
0-4999,90,1000,1000,1
0-4999,90,1500,0,0
0-4999,90,1500,500,0
0-4999,90,1500,1000,0
0-4999,90,1500,1500,1
0-4999,90,2000,0,0
0-4999,90,2000,500,0
0-4999,90,2000,1000,0
0-4999,90,2000,1500,0
0-4999,90,2000,2000,1
0-4999,90,2500,0,0
0-4999,90,2500,500,0
0-4999,90,2500,1000,0
0-4999,90,2500,1500,0
0-4999,90,2500,2000,0
0-4999,90,2500,2500,1
0-4999,90,3000,0,0
0-4999,90,3000,500,0
0-4999,90,3000,1000,0
0-4999,90,3000,1500,0
0-4999,90,3000,2000,0
0-4999,90,3000,2500,0
0-4999,90,3000,3000,1
0-4999,90,3500,0,0
0-4999,90,3500,500,0
0-4999,90,3500,1000,0
0-4999,90,3500,1500,0
0-4999,90,3500,2000,0
0-4999,90,3500,2500,0
0-4999,90,3500,3000,0
0-4999,90,3500,3500,1
0-4999,90,4000,0,0
0-4999,90,4000,500,0
0-4999,90,4000,1000,0
0-4999,90,4000,1500,0
0-4999,90,4000,2000,0
0-4999,90,4000,2500,0
0-4999,90,4000,3000,0
0-4999,90,4000,3500,0
0-4999,90,4000,4000,1
0-4999,90,4500,0,0
0-4999,90,4500,500,0
0-4999,90,4500,1000,0
0-4999,90,4500,1500,0
0-4999,90,4500,2000,0
0-4999,90,4500,2500,0
0-4999,90,4500,3000,0
0-4999,90,4500,3500,0
0-4999,90,4500,4000,0
0-4999,90,4500,4500,1
0-4999,90,5000,0,0
0-4999,90,5000,500,0
0-4999,90,5000,1000,0
0-4999,90,5000,1500,0
0-4999,90,5000,2000,0
0-4999,90,5000,2500,0
0-4999,90,5000,3000,0
0-4999,90,5000,3500,0
0-4999,90,5000,4000,0
0-4999,90,5000,4500,0
0-4999,90,5000,5000,1
5000-9999,30,5000,0,0
5000-9999,30,5000,500,0
5000-9999,30,5000,1000,0
5000-9999,30,5000,1500,0
5000-9999,30,5000,2000,0
5000-9999,30,5000,2500,0
5000-9999,30,5000,3000,0
5000-9999,30,5000,3500,0
5000-9999,30,5000,4000,0
5000-9999,30,5000,4500,0
5000-9999,30,5000,4950,1
5000-9999,30,5000,5000,1
5000-9999,30,5500,0,0
5000-9999,30,5500,500,0
5000-9999,30,5500,1000,0
5000-9999,30,5500,1500,0
5000-9999,30,5500,2000,0
5000-9999,30,5500,2500,0
5000-9999,30,5500,3000,0
5000-9999,30,5500,3500,0
5000-9999,30,5500,4000,0
5000-9999,30,5500,4500,0
5000-9999,30,5500,5000,0
5000-9999,30,5500,5445,1
5000-9999,30,5500,5495,1
5000-9999,30,6000,0,0
5000-9999,30,6000,500,0
5000-9999,30,6000,1000,0
5000-9999,30,6000,1500,0
5000-9999,30,6000,2000,0
5000-9999,30,6000,2500,0
5000-9999,30,6000,3000,0
5000-9999,30,6000,3500,0
5000-9999,30,6000,4000,0
5000-9999,30,6000,4500,0
5000-9999,30,6000,5000,0
5000-9999,30,6000,5500,0
5000-9999,30,6000,5940,1
5000-9999,30,6000,5990,1
5000-9999,30,6500,0,0
5000-9999,30,6500,500,0
5000-9999,30,6500,1000,0
5000-9999,30,6500,1500,0
5000-9999,30,6500,2000,0
5000-9999,30,6500,2500,0
5000-9999,30,6500,3000,0
5000-9999,30,6500,3500,0
5000-9999,30,6500,4000,0
5000-9999,30,6500,4500,0
5000-9999,30,6500,5000,0
5000-9999,30,6500,5500,0
5000-9999,30,6500,6000,0
5000-9999,30,6500,6435,1
5000-9999,30,6500,6485,1
5000-9999,30,7000,0,0
5000-9999,30,7000,500,0
5000-9999,30,7000,1000,0
5000-9999,30,7000,1500,0
5000-9999,30,7000,2000,0
5000-9999,30,7000,2500,0
5000-9999,30,7000,3000,0
5000-9999,30,7000,3500,0
5000-9999,30,7000,4000,0
5000-9999,30,7000,4500,0
5000-9999,30,7000,5000,0
5000-9999,30,7000,5500,0
5000-9999,30,7000,6000,0
5000-9999,30,7000,6500,0
5000-9999,30,7000,6930,1
5000-9999,30,7000,6980,1
5000-9999,30,7500,0,0
5000-9999,30,7500,500,0
5000-9999,30,7500,1000,0
5000-9999,30,7500,1500,0
5000-9999,30,7500,2000,0
5000-9999,30,7500,2500,0
5000-9999,30,7500,3000,0
5000-9999,30,7500,3500,0
5000-9999,30,7500,4000,0
5000-9999,30,7500,4500,0
5000-9999,30,7500,5000,0
5000-9999,30,7500,5500,0
5000-9999,30,7500,6000,0
5000-9999,30,7500,6500,0
5000-9999,30,7500,7000,0
5000-9999,30,7500,7275,1
5000-9999,30,7500,7325,1
5000-9999,30,7500,7375,1
5000-9999,30,7500,7425,1
5000-9999,30,7500,7475,1
5000-9999,30,8000,0,0
5000-9999,30,8000,500,0
5000-9999,30,8000,1000,0
5000-9999,30,8000,1500,0
5000-9999,30,8000,2000,0
5000-9999,30,8000,2500,0
5000-9999,30,8000,3000,0
5000-9999,30,8000,3500,0
5000-9999,30,8000,4000,0
5000-9999,30,8000,4500,0
5000-9999,30,8000,5000,0
5000-9999,30,8000,5500,0
5000-9999,30,8000,6000,0
5000-9999,30,8000,6500,0
5000-9999,30,8000,7000,0
5000-9999,30,8000,7500,0
5000-9999,30,8000,7840,1
5000-9999,30,8000,7890,1
5000-9999,30,8000,7940,1
5000-9999,30,8000,7990,1
5000-9999,30,8500,0,0
5000-9999,30,8500,500,0
5000-9999,30,8500,1000,0
5000-9999,30,8500,1500,0
5000-9999,30,8500,2000,0
5000-9999,30,8500,2500,0
5000-9999,30,8500,3000,0
5000-9999,30,8500,3500,0
5000-9999,30,8500,4000,0
5000-9999,30,8500,4500,0
5000-9999,30,8500,5000,0
5000-9999,30,8500,5500,0
5000-9999,30,8500,6000,0
5000-9999,30,8500,6500,0
5000-9999,30,8500,7000,0
5000-9999,30,8500,7500,0
5000-9999,30,8500,8000,0
5000-9999,30,8500,8330,1
5000-9999,30,8500,8380,1
5000-9999,30,8500,8430,1
5000-9999,30,8500,8480,1
5000-9999,30,9000,0,0
5000-9999,30,9000,500,0
5000-9999,30,9000,1000,0
5000-9999,30,9000,1500,0
5000-9999,30,9000,2000,0
5000-9999,30,9000,2500,0
5000-9999,30,9000,3000,0
5000-9999,30,9000,3500,0
5000-9999,30,9000,4000,0
5000-9999,30,9000,4500,0
5000-9999,30,9000,5000,0
5000-9999,30,9000,5500,0
5000-9999,30,9000,6000,0
5000-9999,30,9000,6500,0
5000-9999,30,9000,7000,0
5000-9999,30,9000,7500,0
5000-9999,30,9000,8000,0
5000-9999,30,9000,8500,0
5000-9999,30,9000,8820,1
5000-9999,30,9000,8870,1
5000-9999,30,9000,8920,1
5000-9999,30,9000,8970,1
5000-9999,30,9500,0,0
5000-9999,30,9500,500,0
5000-9999,30,9500,1000,0
5000-9999,30,9500,1500,0
5000-9999,30,9500,2000,0
5000-9999,30,9500,2500,0
5000-9999,30,9500,3000,0
5000-9999,30,9500,3500,0
5000-9999,30,9500,4000,0
5000-9999,30,9500,4500,0
5000-9999,30,9500,5000,0
5000-9999,30,9500,5500,0
5000-9999,30,9500,6000,0
5000-9999,30,9500,6500,0
5000-9999,30,9500,7000,0
5000-9999,30,9500,7500,0
5000-9999,30,9500,8000,0
5000-9999,30,9500,8500,0
5000-9999,30,9500,9000,0
5000-9999,30,9500,9215,1
5000-9999,30,9500,9265,1
5000-9999,30,9500,9315,1
5000-9999,30,9500,9365,1
5000-9999,30,9500,9415,1
5000-9999,30,9500,9465,1
5000-9999,30,10000,0,0
5000-9999,30,10000,500,0
5000-9999,30,10000,1000,0
5000-9999,30,10000,1500,0
5000-9999,30,10000,2000,0
5000-9999,30,10000,2500,0
5000-9999,30,10000,3000,0
5000-9999,30,10000,3500,0
5000-9999,30,10000,4000,0
5000-9999,30,10000,4500,0
5000-9999,30,10000,5000,0
5000-9999,30,10000,5500,0
5000-9999,30,10000,6000,0
5000-9999,30,10000,6500,0
5000-9999,30,10000,7000,0
5000-9999,30,10000,7500,0
5000-9999,30,10000,8000,0
5000-9999,30,10000,8500,0
5000-9999,30,10000,9000,0
5000-9999,30,10000,9500,0
5000-9999,30,10000,9700,1
5000-9999,30,10000,9750,1
5000-9999,30,10000,9800,1
5000-9999,30,10000,9850,1
5000-9999,30,10000,9900,1
5000-9999,30,10000,9950,1
5000-9999,30,10000,10000,1
5000-9999,60,5000,0,0
5000-9999,60,5000,500,0
5000-9999,60,5000,1000,0
5000-9999,60,5000,1500,0
5000-9999,60,5000,2000,0
5000-9999,60,5000,2500,0
5000-9999,60,5000,3000,0
5000-9999,60,5000,3500,0
5000-9999,60,5000,4000,0
5000-9999,60,5000,4500,0
5000-9999,60,5000,4950,1
5000-9999,60,5000,5000,1
5000-9999,60,5500,0,0
5000-9999,60,5500,500,0
5000-9999,60,5500,1000,0
5000-9999,60,5500,1500,0
5000-9999,60,5500,2000,0
5000-9999,60,5500,2500,0
5000-9999,60,5500,3000,0
5000-9999,60,5500,3500,0
5000-9999,60,5500,4000,0
5000-9999,60,5500,4500,0
5000-9999,60,5500,5000,0
5000-9999,60,5500,5445,1
5000-9999,60,5500,5495,1
5000-9999,60,6000,0,0
5000-9999,60,6000,500,0
5000-9999,60,6000,1000,0
5000-9999,60,6000,1500,0
5000-9999,60,6000,2000,0
5000-9999,60,6000,2500,0
5000-9999,60,6000,3000,0
5000-9999,60,6000,3500,0
5000-9999,60,6000,4000,0
5000-9999,60,6000,4500,0
5000-9999,60,6000,5000,0
5000-9999,60,6000,5500,0
5000-9999,60,6000,5940,1
5000-9999,60,6000,5990,1
5000-9999,60,6500,0,0
5000-9999,60,6500,500,0
5000-9999,60,6500,1000,0
5000-9999,60,6500,1500,0
5000-9999,60,6500,2000,0
5000-9999,60,6500,2500,0
5000-9999,60,6500,3000,0
5000-9999,60,6500,3500,0
5000-9999,60,6500,4000,0
5000-9999,60,6500,4500,0
5000-9999,60,6500,5000,0
5000-9999,60,6500,5500,0
5000-9999,60,6500,6000,0
5000-9999,60,6500,6435,1
5000-9999,60,6500,6485,1
5000-9999,60,7000,0,0
5000-9999,60,7000,500,0
5000-9999,60,7000,1000,0
5000-9999,60,7000,1500,0
5000-9999,60,7000,2000,0
5000-9999,60,7000,2500,0
5000-9999,60,7000,3000,0
5000-9999,60,7000,3500,0
5000-9999,60,7000,4000,0
5000-9999,60,7000,4500,0
5000-9999,60,7000,5000,0
5000-9999,60,7000,5500,0
5000-9999,60,7000,6000,0
5000-9999,60,7000,6500,0
5000-9999,60,7000,6930,1
5000-9999,60,7000,6980,1
5000-9999,60,7500,0,0
5000-9999,60,7500,500,0
5000-9999,60,7500,1000,0
5000-9999,60,7500,1500,0
5000-9999,60,7500,2000,0
5000-9999,60,7500,2500,0
5000-9999,60,7500,3000,0
5000-9999,60,7500,3500,0
5000-9999,60,7500,4000,0
5000-9999,60,7500,4500,0
5000-9999,60,7500,5000,0
5000-9999,60,7500,5500,0
5000-9999,60,7500,6000,0
5000-9999,60,7500,6500,0
5000-9999,60,7500,7000,0
5000-9999,60,7500,7350,1
5000-9999,60,7500,7400,1
5000-9999,60,7500,7450,1
5000-9999,60,7500,7500,1
5000-9999,60,8000,0,0
5000-9999,60,8000,500,0
5000-9999,60,8000,1000,0
5000-9999,60,8000,1500,0
5000-9999,60,8000,2000,0
5000-9999,60,8000,2500,0
5000-9999,60,8000,3000,0
5000-9999,60,8000,3500,0
5000-9999,60,8000,4000,0
5000-9999,60,8000,4500,0
5000-9999,60,8000,5000,0
5000-9999,60,8000,5500,0
5000-9999,60,8000,6000,0
5000-9999,60,8000,6500,0
5000-9999,60,8000,7000,0
5000-9999,60,8000,7500,0
5000-9999,60,8000,7920,1
5000-9999,60,8000,7970,1
5000-9999,60,8500,0,0
5000-9999,60,8500,500,0
5000-9999,60,8500,1000,0
5000-9999,60,8500,1500,0
5000-9999,60,8500,2000,0
5000-9999,60,8500,2500,0
5000-9999,60,8500,3000,0
5000-9999,60,8500,3500,0
5000-9999,60,8500,4000,0
5000-9999,60,8500,4500,0
5000-9999,60,8500,5000,0
5000-9999,60,8500,5500,0
5000-9999,60,8500,6000,0
5000-9999,60,8500,6500,0
5000-9999,60,8500,7000,0
5000-9999,60,8500,7500,0
5000-9999,60,8500,8000,0
5000-9999,60,8500,8415,1
5000-9999,60,8500,8465,1
5000-9999,60,9000,0,0
5000-9999,60,9000,500,0
5000-9999,60,9000,1000,0
5000-9999,60,9000,1500,0
5000-9999,60,9000,2000,0
5000-9999,60,9000,2500,0
5000-9999,60,9000,3000,0
5000-9999,60,9000,3500,0
5000-9999,60,9000,4000,0
5000-9999,60,9000,4500,0
5000-9999,60,9000,5000,0
5000-9999,60,9000,5500,0
5000-9999,60,9000,6000,0
5000-9999,60,9000,6500,0
5000-9999,60,9000,7000,0
5000-9999,60,9000,7500,0
5000-9999,60,9000,8000,0
5000-9999,60,9000,8500,0
5000-9999,60,9000,8910,1
5000-9999,60,9000,8960,1
5000-9999,60,9500,0,0
5000-9999,60,9500,500,0
5000-9999,60,9500,1000,0
5000-9999,60,9500,1500,0
5000-9999,60,9500,2000,0
5000-9999,60,9500,2500,0
5000-9999,60,9500,3000,0
5000-9999,60,9500,3500,0
5000-9999,60,9500,4000,0
5000-9999,60,9500,4500,0
5000-9999,60,9500,5000,0
5000-9999,60,9500,5500,0
5000-9999,60,9500,6000,0
5000-9999,60,9500,6500,0
5000-9999,60,9500,7000,0
5000-9999,60,9500,7500,0
5000-9999,60,9500,8000,0
5000-9999,60,9500,8500,0
5000-9999,60,9500,9000,0
5000-9999,60,9500,9310,1
5000-9999,60,9500,9360,1
5000-9999,60,9500,9410,1
5000-9999,60,9500,9460,1
5000-9999,60,10000,0,0
5000-9999,60,10000,500,0
5000-9999,60,10000,1000,0
5000-9999,60,10000,1500,0
5000-9999,60,10000,2000,0
5000-9999,60,10000,2500,0
5000-9999,60,10000,3000,0
5000-9999,60,10000,3500,0
5000-9999,60,10000,4000,0
5000-9999,60,10000,4500,0
5000-9999,60,10000,5000,0
5000-9999,60,10000,5500,0
5000-9999,60,10000,6000,0
5000-9999,60,10000,6500,0
5000-9999,60,10000,7000,0
5000-9999,60,10000,7500,0
5000-9999,60,10000,8000,0
5000-9999,60,10000,8500,0
5000-9999,60,10000,9000,0
5000-9999,60,10000,9500,0
5000-9999,60,10000,9800,1
5000-9999,60,10000,9850,1
5000-9999,60,10000,9900,1
5000-9999,60,10000,9950,1
5000-9999,60,10000,10000,1
5000-9999,90,5000,0,0
5000-9999,90,5000,500,0
5000-9999,90,5000,1000,0
5000-9999,90,5000,1500,0
5000-9999,90,5000,2000,0
5000-9999,90,5000,2500,0
5000-9999,90,5000,3000,0
5000-9999,90,5000,3500,0
5000-9999,90,5000,4000,0
5000-9999,90,5000,4500,0
5000-9999,90,5000,5000,1
5000-9999,90,5500,0,0
5000-9999,90,5500,500,0
5000-9999,90,5500,1000,0
5000-9999,90,5500,1500,0
5000-9999,90,5500,2000,0
5000-9999,90,5500,2500,0
5000-9999,90,5500,3000,0
5000-9999,90,5500,3500,0
5000-9999,90,5500,4000,0
5000-9999,90,5500,4500,0
5000-9999,90,5500,5000,0
5000-9999,90,5500,5500,1
5000-9999,90,6000,0,0
5000-9999,90,6000,500,0
5000-9999,90,6000,1000,0
5000-9999,90,6000,1500,0
5000-9999,90,6000,2000,0
5000-9999,90,6000,2500,0
5000-9999,90,6000,3000,0
5000-9999,90,6000,3500,0
5000-9999,90,6000,4000,0
5000-9999,90,6000,4500,0
5000-9999,90,6000,5000,0
5000-9999,90,6000,5500,0
5000-9999,90,6000,6000,1
5000-9999,90,6500,0,0
5000-9999,90,6500,500,0
5000-9999,90,6500,1000,0
5000-9999,90,6500,1500,0
5000-9999,90,6500,2000,0
5000-9999,90,6500,2500,0
5000-9999,90,6500,3000,0
5000-9999,90,6500,3500,0
5000-9999,90,6500,4000,0
5000-9999,90,6500,4500,0
5000-9999,90,6500,5000,0
5000-9999,90,6500,5500,0
5000-9999,90,6500,6000,0
5000-9999,90,6500,6500,1
5000-9999,90,7000,0,0
5000-9999,90,7000,500,0
5000-9999,90,7000,1000,0
5000-9999,90,7000,1500,0
5000-9999,90,7000,2000,0
5000-9999,90,7000,2500,0
5000-9999,90,7000,3000,0
5000-9999,90,7000,3500,0
5000-9999,90,7000,4000,0
5000-9999,90,7000,4500,0
5000-9999,90,7000,5000,0
5000-9999,90,7000,5500,0
5000-9999,90,7000,6000,0
5000-9999,90,7000,6500,0
5000-9999,90,7000,7000,1
5000-9999,90,7500,0,0
5000-9999,90,7500,500,0
5000-9999,90,7500,1000,0
5000-9999,90,7500,1500,0
5000-9999,90,7500,2000,0
5000-9999,90,7500,2500,0
5000-9999,90,7500,3000,0
5000-9999,90,7500,3500,0
5000-9999,90,7500,4000,0
5000-9999,90,7500,4500,0
5000-9999,90,7500,5000,0
5000-9999,90,7500,5500,0
5000-9999,90,7500,6000,0
5000-9999,90,7500,6500,0
5000-9999,90,7500,7000,0
5000-9999,90,7500,7425,1
5000-9999,90,7500,7475,1
5000-9999,90,8000,0,0
5000-9999,90,8000,500,0
5000-9999,90,8000,1000,0
5000-9999,90,8000,1500,0
5000-9999,90,8000,2000,0
5000-9999,90,8000,2500,0
5000-9999,90,8000,3000,0
5000-9999,90,8000,3500,0
5000-9999,90,8000,4000,0
5000-9999,90,8000,4500,0
5000-9999,90,8000,5000,0
5000-9999,90,8000,5500,0
5000-9999,90,8000,6000,0
5000-9999,90,8000,6500,0
5000-9999,90,8000,7000,0
5000-9999,90,8000,7500,0
5000-9999,90,8000,7920,1
5000-9999,90,8000,7970,1
5000-9999,90,8500,0,0
5000-9999,90,8500,500,0
5000-9999,90,8500,1000,0
5000-9999,90,8500,1500,0
5000-9999,90,8500,2000,0
5000-9999,90,8500,2500,0
5000-9999,90,8500,3000,0
5000-9999,90,8500,3500,0
5000-9999,90,8500,4000,0
5000-9999,90,8500,4500,0
5000-9999,90,8500,5000,0
5000-9999,90,8500,5500,0
5000-9999,90,8500,6000,0
5000-9999,90,8500,6500,0
5000-9999,90,8500,7000,0
5000-9999,90,8500,7500,0
5000-9999,90,8500,8000,0
5000-9999,90,8500,8415,1
5000-9999,90,8500,8465,1
5000-9999,90,9000,0,0
5000-9999,90,9000,500,0
5000-9999,90,9000,1000,0
5000-9999,90,9000,1500,0
5000-9999,90,9000,2000,0
5000-9999,90,9000,2500,0
5000-9999,90,9000,3000,0
5000-9999,90,9000,3500,0
5000-9999,90,9000,4000,0
5000-9999,90,9000,4500,0
5000-9999,90,9000,5000,0
5000-9999,90,9000,5500,0
5000-9999,90,9000,6000,0
5000-9999,90,9000,6500,0
5000-9999,90,9000,7000,0
5000-9999,90,9000,7500,0
5000-9999,90,9000,8000,0
5000-9999,90,9000,8500,0
5000-9999,90,9000,8910,1
5000-9999,90,9000,8960,1
5000-9999,90,9500,0,0
5000-9999,90,9500,500,0
5000-9999,90,9500,1000,0
5000-9999,90,9500,1500,0
5000-9999,90,9500,2000,0
5000-9999,90,9500,2500,0
5000-9999,90,9500,3000,0
5000-9999,90,9500,3500,0
5000-9999,90,9500,4000,0
5000-9999,90,9500,4500,0
5000-9999,90,9500,5000,0
5000-9999,90,9500,5500,0
5000-9999,90,9500,6000,0
5000-9999,90,9500,6500,0
5000-9999,90,9500,7000,0
5000-9999,90,9500,7500,0
5000-9999,90,9500,8000,0
5000-9999,90,9500,8500,0
5000-9999,90,9500,9000,0
5000-9999,90,9500,9405,1
5000-9999,90,9500,9455,1
5000-9999,90,10000,0,0
5000-9999,90,10000,500,0
5000-9999,90,10000,1000,0
5000-9999,90,10000,1500,0
5000-9999,90,10000,2000,0
5000-9999,90,10000,2500,0
5000-9999,90,10000,3000,0
5000-9999,90,10000,3500,0
5000-9999,90,10000,4000,0
5000-9999,90,10000,4500,0
5000-9999,90,10000,5000,0
5000-9999,90,10000,5500,0
5000-9999,90,10000,6000,0
5000-9999,90,10000,6500,0
5000-9999,90,10000,7000,0
5000-9999,90,10000,7500,0
5000-9999,90,10000,8000,0
5000-9999,90,10000,8500,0
5000-9999,90,10000,9000,0
5000-9999,90,10000,9500,0
5000-9999,90,10000,9900,1
5000-9999,90,10000,9950,1
5000-9999,90,10000,10000,1
10000-14999,30,10000,0,0
10000-14999,30,10000,500,0
10000-14999,30,10000,1000,0
10000-14999,30,10000,1500,0
10000-14999,30,10000,2000,0
10000-14999,30,10000,2500,0
10000-14999,30,10000,3000,0
10000-14999,30,10000,3500,0
10000-14999,30,10000,4000,0
10000-14999,30,10000,4500,0
10000-14999,30,10000,5000,0
10000-14999,30,10000,5500,0
10000-14999,30,10000,6000,0
10000-14999,30,10000,6500,0
10000-14999,30,10000,7000,0
10000-14999,30,10000,7500,0
10000-14999,30,10000,8000,0
10000-14999,30,10000,8500,0
10000-14999,30,10000,9000,0
10000-14999,30,10000,9500,1
10000-14999,30,10000,9550,1
10000-14999,30,10000,9600,1
10000-14999,30,10000,9650,1
10000-14999,30,10000,9700,1
10000-14999,30,10000,9750,1
10000-14999,30,10000,9800,1
10000-14999,30,10000,9850,1
10000-14999,30,10000,9900,1
10000-14999,30,10000,9950,1
10000-14999,30,10000,10000,1
10000-14999,30,10500,0,0
10000-14999,30,10500,500,0
10000-14999,30,10500,1000,0
10000-14999,30,10500,1500,0
10000-14999,30,10500,2000,0
10000-14999,30,10500,2500,0
10000-14999,30,10500,3000,0
10000-14999,30,10500,3500,0
10000-14999,30,10500,4000,0
10000-14999,30,10500,4500,0
10000-14999,30,10500,5000,0
10000-14999,30,10500,5500,0
10000-14999,30,10500,6000,0
10000-14999,30,10500,6500,0
10000-14999,30,10500,7000,0
10000-14999,30,10500,7500,0
10000-14999,30,10500,8000,0
10000-14999,30,10500,8500,0
10000-14999,30,10500,9000,0
10000-14999,30,10500,9500,0
10000-14999,30,10500,9975,1
10000-14999,30,10500,10025,1
10000-14999,30,10500,10075,1
10000-14999,30,10500,10125,1
10000-14999,30,10500,10175,1
10000-14999,30,10500,10225,1
10000-14999,30,10500,10275,1
10000-14999,30,10500,10325,1
10000-14999,30,10500,10375,1
10000-14999,30,10500,10425,1
10000-14999,30,10500,10475,1
10000-14999,30,11000,0,0
10000-14999,30,11000,500,0
10000-14999,30,11000,1000,0
10000-14999,30,11000,1500,0
10000-14999,30,11000,2000,0
10000-14999,30,11000,2500,0
10000-14999,30,11000,3000,0
10000-14999,30,11000,3500,0
10000-14999,30,11000,4000,0
10000-14999,30,11000,4500,0
10000-14999,30,11000,5000,0
10000-14999,30,11000,5500,0
10000-14999,30,11000,6000,0
10000-14999,30,11000,6500,0
10000-14999,30,11000,7000,0
10000-14999,30,11000,7500,0
10000-14999,30,11000,8000,0
10000-14999,30,11000,8500,0
10000-14999,30,11000,9000,0
10000-14999,30,11000,9500,0
10000-14999,30,11000,10000,0
10000-14999,30,11000,10340,1
10000-14999,30,11000,10390,1
10000-14999,30,11000,10440,1
10000-14999,30,11000,10490,1
10000-14999,30,11000,10540,1
10000-14999,30,11000,10590,1
10000-14999,30,11000,10640,1
10000-14999,30,11000,10690,1
10000-14999,30,11000,10740,1
10000-14999,30,11000,10790,1
10000-14999,30,11000,10840,1
10000-14999,30,11000,10890,1
10000-14999,30,11000,10940,1
10000-14999,30,11000,10990,1
10000-14999,30,11500,0,0
10000-14999,30,11500,500,0
10000-14999,30,11500,1000,0
10000-14999,30,11500,1500,0
10000-14999,30,11500,2000,0
10000-14999,30,11500,2500,0
10000-14999,30,11500,3000,0
10000-14999,30,11500,3500,0
10000-14999,30,11500,4000,0
10000-14999,30,11500,4500,0
10000-14999,30,11500,5000,0
10000-14999,30,11500,5500,0
10000-14999,30,11500,6000,0
10000-14999,30,11500,6500,0
10000-14999,30,11500,7000,0
10000-14999,30,11500,7500,0
10000-14999,30,11500,8000,0
10000-14999,30,11500,8500,0
